frame,x,y,visible
1,1189,727,1
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,1248,472,1
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,1304,422,1
41,1308,424,1
42,1315,428,1
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,1360,479,1
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,1424,461,1
53,-1,-1,0
54,-1,-1,0
55,1379,616,1
56,1381,631,1
57,1385,615,1
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,-1,-1,0
66,-1,-1,0
67,1506,465,1
68,-1,-1,0
69,-1,-1,0
70,1590,476,1
71,1607,480,1
72,1638,490,1
73,1671,502,1
74,1686,510,1
75,1730,495,1
76,1742,487,1
77,1742,488,1
78,1769,471,1
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,-1,-1,0
83,1874,431,1
84,1888,431,1
85,1911,428,1
86,1911,428,1
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,2031,444,1
97,2031,444,1
98,2053,433,1
99,2053,433,1
100,2075,426,1
101,2075,426,1
102,2086,422,1
103,2086,422,1
104,2107,417,1
105,2107,417,1
106,2119,413,1
107,2119,414,1
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,2171,417,1
113,2194,419,1
114,2194,419,1
115,2202,414,1
116,2202,414,1
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,2261,399,1
122,2261,399,1
123,2279,399,1
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,2334,388,1
132,2334,388,1
133,-1,-1,0
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,2408,378,1
142,-1,-1,0
143,-1,-1,0
144,-1,-1,0
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,-1,-1,0
156,-1,-1,0
157,-1,-1,0
158,2514,356,1
159,2514,356,1
160,-1,-1,0
161,-1,-1,0
162,-1,-1,0
163,-1,-1,0
164,-1,-1,0
165,-1,-1,0
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
170,-1,-1,0
171,-1,-1,0
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,-1,-1,0
193,-1,-1,0
194,-1,-1,0
195,-1,-1,0
196,-1,-1,0
197,-1,-1,0
198,-1,-1,0
199,-1,-1,0
200,-1,-1,0
201,-1,-1,0
